week_start,sales,series_id,week_end,promo_type
2023-10-16,94.9313059381942,Product_001,2023-10-22,Normal
2023-10-23,101.01099374058896,Product_001,2023-10-29,Normal
2023-10-30,98.50050899415484,Product_001,2023-11-05,Normal
2023-11-06,104.22345646382286,Product_001,2023-11-12,Normal
2023-11-13,105.05365345550516,Product_001,2023-11-19,Normal
2023-11-20,426.9864141069589,Product_001,2023-11-26,Black Friday
2023-11-27,400.7929066424955,Product_001,2023-12-03,Normal
2023-12-04,105.9504667515833,Product_001,2023-12-10,Normal
2023-12-11,115.10493003785972,Product_001,2023-12-17,Normal
2023-12-18,116.0054011317671,Product_001,2023-12-24,Normal
2023-12-25,127.40099536357071,Product_001,2023-12-31,Normal
2024-01-01,126.46124738470436,Product_001,2024-01-07,Normal
2024-01-08,128.6473943473475,Product_001,2024-01-14,Normal
2024-01-15,128.30476294457392,Product_001,2024-01-21,Normal
2024-01-22,135.8598771460852,Product_001,2024-01-28,Normal
2024-01-29,135.09627953492802,Product_001,2024-02-04,Normal
2024-02-05,135.64087478313118,Product_001,2024-02-11,Normal
2024-02-12,141.75947187904794,Product_001,2024-02-18,Normal
2024-02-19,146.38954950698556,Product_001,2024-02-25,Normal
2024-02-26,149.05556960979808,Product_001,2024-03-03,Normal
2024-03-04,154.48697494097968,Product_001,2024-03-10,Normal
2024-03-11,154.5121833810195,Product_001,2024-03-17,Normal
2024-03-18,157.34787304638468,Product_001,2024-03-24,Normal
2024-03-25,151.28743340609478,Product_001,2024-03-31,Normal
2024-04-01,155.57806186345857,Product_001,2024-04-07,Normal
2024-04-08,148.42489112724633,Product_001,2024-04-14,Normal
2024-04-15,158.0280902267522,Product_001,2024-04-21,Normal
2024-04-22,157.68655967680456,Product_001,2024-04-28,Normal
2024-04-29,146.523090581479,Product_001,2024-05-05,BOGO
2024-05-06,342.8861511496621,Product_001,2024-05-12,BOGO
2024-05-13,149.50028157056502,Product_001,2024-05-19,Normal
2024-05-20,148.26077196323686,Product_001,2024-05-26,Normal
2024-05-27,148.56578816063265,Product_001,2024-06-02,Memorial Day
2024-06-03,147.17772491121298,Product_001,2024-06-09,Normal
2024-06-10,150.40836105081382,Product_001,2024-06-16,Normal
2024-06-17,139.27181296242003,Product_001,2024-06-23,Normal
2024-06-24,136.83944526108033,Product_001,2024-06-30,Normal
2024-07-01,128.59297270256496,Product_001,2024-07-07,Normal
2024-07-08,134.45316578614288,Product_001,2024-07-14,Normal
2024-07-15,128.99119220812815,Product_001,2024-07-21,Normal
2024-07-22,134.9735967298124,Product_001,2024-07-28,Normal
2024-07-29,123.7138488787126,Product_001,2024-08-04,Normal
2024-08-05,124.3249958962461,Product_001,2024-08-11,Disc_50
2024-08-12,127.03441634321156,Product_001,2024-08-18,Disc_50
2024-08-19,713.0460940935333,Product_001,2024-08-25,Normal
2024-08-26,112.6571557252795,Product_001,2024-09-01,Normal
2024-09-02,115.34050433639,Product_001,2024-09-08,Normal
2024-09-09,120.70178300168358,Product_001,2024-09-15,Normal
2024-09-16,120.67108190952032,Product_001,2024-09-22,Normal
2024-09-23,106.93653213950334,Product_001,2024-09-29,Normal
2024-09-30,127.76563349815436,Product_001,2024-10-06,Normal
2024-10-07,125.54124722891504,Product_001,2024-10-13,Normal
2024-10-14,117.41000063902804,Product_001,2024-10-20,Normal
2024-10-21,121.71580551314568,Product_001,2024-10-27,Normal
2024-10-28,124.44306911201126,Product_001,2024-11-03,Normal
2024-11-04,125.3654428998632,Product_001,2024-11-10,Normal
2024-11-11,131.55886300112985,Product_001,2024-11-17,Normal
2024-11-18,506.93485018737175,Product_001,2024-11-24,Normal
2024-11-25,517.635418100188,Product_001,2024-12-01,Black Friday
2024-12-02,137.04790501499934,Product_001,2024-12-08,Normal
2024-12-09,144.3849499552339,Product_001,2024-12-15,Normal
2024-12-16,140.9507319372629,Product_001,2024-12-22,Normal
2024-12-23,155.16832794067028,Product_001,2024-12-29,Normal
2024-12-30,152.56404871115478,Product_001,2025-01-05,Normal
2023-01-02,108.09715256669844,Product_002,2023-01-08,Normal
2023-01-09,107.98459018754616,Product_002,2023-01-15,Normal
2023-01-16,111.65223024579252,Product_002,2023-01-22,Normal
2023-01-23,120.63195004956252,Product_002,2023-01-29,Normal
2023-01-30,120.26365227558526,Product_002,2023-02-05,Normal
2023-02-06,125.6270327762673,Product_002,2023-02-12,Normal
2023-02-13,127.00543027565055,Product_002,2023-02-19,Normal
2023-02-20,124.3391938251083,Product_002,2023-02-26,Normal
2023-02-27,127.91982423695131,Product_002,2023-03-05,Normal
2023-03-06,131.50713000185547,Product_002,2023-03-12,Normal
2023-03-13,130.41783168545308,Product_002,2023-03-19,Normal
2023-03-20,134.66032190269553,Product_002,2023-03-26,Normal
2023-03-27,131.2468139967867,Product_002,2023-04-02,Normal
2023-04-03,136.02119917961565,Product_002,2023-04-09,Normal
2023-04-10,134.03376683063047,Product_002,2023-04-16,Normal
2023-04-17,137.01538082764387,Product_002,2023-04-23,Normal
2023-04-24,135.710247159219,Product_002,2023-04-30,Normal
2023-05-01,137.63455556271617,Product_002,2023-05-07,Normal
2023-05-08,134.33373097242352,Product_002,2023-05-14,Normal
2023-05-15,133.06677802599904,Product_002,2023-05-21,BOGO
2023-05-22,267.2651822326232,Product_002,2023-05-28,BOGO
2023-05-29,136.5967789512669,Product_002,2023-06-04,Memorial Day
2023-06-05,131.06284341044795,Product_002,2023-06-11,Normal
2023-06-12,129.2236116932874,Product_002,2023-06-18,Normal
2023-06-19,123.41022909607648,Product_002,2023-06-25,Normal
2023-06-26,124.69721686284124,Product_002,2023-07-02,Normal
2023-07-03,114.83206925246832,Product_002,2023-07-09,Normal
2023-07-10,109.3819939660966,Product_002,2023-07-16,Normal
2023-07-17,114.6141220115778,Product_002,2023-07-23,Normal
2023-07-24,111.15323377915156,Product_002,2023-07-30,Normal
2023-07-31,5.14868499629738,Product_002,2023-08-06,Normal
2023-08-07,106.56796072147364,Product_002,2023-08-13,Normal
2023-08-14,106.11653959051704,Product_002,2023-08-20,Normal
2023-08-21,102.07140570223444,Product_002,2023-08-27,Normal
2023-08-28,105.00172443099208,Product_002,2023-09-03,Normal
2023-09-04,88.32966022106334,Product_002,2023-09-10,Normal
2023-09-11,99.21020236951844,Product_002,2023-09-17,Normal
2023-09-18,100.40891254116367,Product_002,2023-09-24,Normal
2023-09-25,99.9982094152936,Product_002,2023-10-01,Normal
2023-10-02,107.17421009881627,Product_002,2023-10-08,Normal
2023-10-09,99.35528221396162,Product_002,2023-10-15,Normal
2023-10-16,100.53425420894034,Product_002,2023-10-22,Normal
2023-10-23,97.05811442697484,Product_002,2023-10-29,Normal
2023-10-30,106.41158179411808,Product_002,2023-11-05,Normal
2023-11-06,103.17123467055636,Product_002,2023-11-12,Normal
2023-11-13,106.07750396446276,Product_002,2023-11-19,Normal
2023-11-20,437.3053168500543,Product_002,2023-11-26,Black Friday
2023-11-27,440.81204424451704,Product_002,2023-12-03,Normal
2023-12-04,117.34794770657,Product_002,2023-12-10,Normal
2023-12-11,116.15322513125685,Product_002,2023-12-17,Normal
2023-12-18,128.74836993023533,Product_002,2023-12-24,Normal
2023-12-25,125.69836017997297,Product_002,2023-12-31,Normal
2024-01-01,129.40707636666477,Product_002,2024-01-07,Normal
2024-01-08,134.35263577369034,Product_002,2024-01-14,Normal
2024-01-15,135.54866581471936,Product_002,2024-01-21,Normal
2024-01-22,141.1418537190035,Product_002,2024-01-28,Normal
2024-01-29,136.5933037493081,Product_002,2024-02-04,Normal
2024-02-05,140.20452027067893,Product_002,2024-02-11,Normal
2024-02-12,151.0489287107667,Product_002,2024-02-18,Normal
2024-02-19,145.07057820717813,Product_002,2024-02-25,Normal
2024-02-26,155.67827125546813,Product_002,2024-03-03,Normal
2024-03-04,151.95569250613167,Product_002,2024-03-10,Normal
2024-03-11,154.42329740858304,Product_002,2024-03-17,Normal
2024-03-18,156.70733395632092,Product_002,2024-03-24,Normal
2024-03-25,158.17622925927958,Product_002,2024-03-31,Normal
2024-04-01,165.0399103579555,Product_002,2024-04-07,Normal
2024-04-08,156.3915376161704,Product_002,2024-04-14,Normal
2024-04-15,163.84903892765624,Product_002,2024-04-21,Normal
2024-04-22,159.2602388287488,Product_002,2024-04-28,Normal
2024-04-29,157.83134367529232,Product_002,2024-05-05,BOGO
2024-05-06,326.31507413581875,Product_002,2024-05-12,BOGO
2024-05-13,162.64517322208698,Product_002,2024-05-19,Normal
2024-05-20,154.30517170110306,Product_002,2024-05-26,Normal
2024-05-27,149.66258800511497,Product_002,2024-06-02,Memorial Day
2024-06-03,148.60652970357745,Product_002,2024-06-09,Normal
2024-06-10,139.8598624265315,Product_002,2024-06-16,Normal
2024-06-17,146.6728011091936,Product_002,2024-06-23,Normal
2024-06-24,140.01775608537292,Product_002,2024-06-30,Normal
2024-07-01,138.5573849333225,Product_002,2024-07-07,Normal
2024-07-08,134.85954188457256,Product_002,2024-07-14,Normal
2024-07-15,131.71091114321678,Product_002,2024-07-21,Normal
2024-07-22,133.33470398523136,Product_002,2024-07-28,Normal
2024-07-29,125.52557112374218,Product_002,2024-08-04,Normal
2024-08-05,124.97147363704846,Product_002,2024-08-11,Disc_50
2024-08-12,132.6829724651979,Product_002,2024-08-18,Disc_50
2024-08-19,718.2780404964055,Product_002,2024-08-25,Normal
2024-08-26,124.7478337307293,Product_002,2024-09-01,Normal
2024-09-02,127.89016196264942,Product_002,2024-09-08,Normal
2024-09-09,117.4855128800535,Product_002,2024-09-15,Normal
2024-09-16,117.72271681085444,Product_002,2024-09-22,Normal
2024-09-23,123.94814149690842,Product_002,2024-09-29,Normal
2024-09-30,123.29602012615376,Product_002,2024-10-06,Normal
2024-10-07,121.4226784318365,Product_002,2024-10-13,Normal
2024-10-14,122.21773711251964,Product_002,2024-10-20,Normal
2024-10-21,119.60193742213104,Product_002,2024-10-27,Normal
2024-10-28,124.29367277194714,Product_002,2024-11-03,Normal
2024-11-04,127.80015675912752,Product_002,2024-11-10,Normal
2024-11-11,125.4931789610279,Product_002,2024-11-17,Normal
2024-11-18,526.9992068967927,Product_002,2024-11-24,Normal
2024-11-25,552.1668192408047,Product_002,2024-12-01,Black Friday
2024-12-02,131.8180662948043,Product_002,2024-12-08,Normal
2024-12-09,140.93538627410496,Product_002,2024-12-15,Normal
2024-12-16,142.31797053709215,Product_002,2024-12-22,Normal
2024-12-23,152.1949912617924,Product_002,2024-12-29,Normal
2024-12-30,147.45765904977463,Product_002,2025-01-05,Normal
2023-01-02,115.0278015043636,Product_003,2023-01-08,Normal
2023-01-09,118.73330816857404,Product_003,2023-01-15,Normal
2023-01-16,120.82565270181348,Product_003,2023-01-22,Normal
2023-01-23,130.78141336286407,Product_003,2023-01-29,Normal
2023-01-30,134.78871931947413,Product_003,2023-02-05,Normal
2023-02-06,127.31798173641914,Product_003,2023-02-12,Normal
2023-02-13,139.05298454799097,Product_003,2023-02-19,Normal
2023-02-20,133.34701803815042,Product_003,2023-02-26,Normal
2023-02-27,140.74545181517294,Product_003,2023-03-05,Normal
2023-03-06,145.1581285085074,Product_003,2023-03-12,Normal
2023-03-13,135.76467278410323,Product_003,2023-03-19,Normal
2023-03-20,150.7721971692488,Product_003,2023-03-26,Normal
2023-03-27,151.27557754071825,Product_003,2023-04-02,Normal
2023-04-03,141.86952805780524,Product_003,2023-04-09,Normal
2023-04-10,143.29773046753857,Product_003,2023-04-16,Normal
2023-04-17,144.46426111915744,Product_003,2023-04-23,Normal
2023-04-24,141.6085966808711,Product_003,2023-04-30,Normal
2023-05-01,147.997518855848,Product_003,2023-05-07,Normal
2023-05-08,146.4275257292192,Product_003,2023-05-14,Normal
2023-05-15,140.55238888435272,Product_003,2023-05-21,BOGO
2023-05-22,273.9290644368158,Product_003,2023-05-28,BOGO
2023-05-29,142.58055328890455,Product_003,2023-06-04,Memorial Day
2023-06-05,132.39828034688293,Product_003,2023-06-11,Normal
2023-06-12,124.99236778512986,Product_003,2023-06-18,Normal
2023-06-19,131.47668823502065,Product_003,2023-06-25,Normal
2023-06-26,129.70402920042014,Product_003,2023-07-02,Normal
2023-07-03,117.09174497443956,Product_003,2023-07-09,Normal
2023-07-10,119.43653834344076,Product_003,2023-07-16,Normal
2023-07-17,118.82953347379508,Product_003,2023-07-23,Normal
2023-07-24,120.24115839429793,Product_003,2023-07-30,Normal
2023-07-31,5.551326177519895,Product_003,2023-08-06,Normal
2023-08-07,104.76152138575011,Product_003,2023-08-13,Normal
2023-08-14,114.45767803776924,Product_003,2023-08-20,Normal
2023-08-21,110.2470461528275,Product_003,2023-08-27,Normal
2023-08-28,103.5196035315168,Product_003,2023-09-03,Normal
2023-09-04,105.81127748489214,Product_003,2023-09-10,Normal
2023-09-11,108.48765937779268,Product_003,2023-09-17,Normal
2023-09-18,105.6828325587245,Product_003,2023-09-24,Normal
2023-09-25,100.97820740837238,Product_003,2023-10-01,Normal
2023-10-02,105.21965254655072,Product_003,2023-10-08,Normal
2023-10-09,104.82163801644936,Product_003,2023-10-15,Normal
2023-10-16,96.49507978092664,Product_003,2023-10-22,Normal
2023-10-23,109.44579510170573,Product_003,2023-10-29,Normal
2023-10-30,106.54520622280673,Product_003,2023-11-05,Normal
2023-11-06,108.46708838584216,Product_003,2023-11-12,Normal
2023-11-13,113.02842412663225,Product_003,2023-11-19,Normal
2023-11-20,467.3409553890445,Product_003,2023-11-26,Black Friday
2023-11-27,487.9583802431645,Product_003,2023-12-03,Normal
2023-12-04,118.6297552369192,Product_003,2023-12-10,Normal
2023-12-11,127.48040547957343,Product_003,2023-12-17,Normal
2023-12-18,115.29076795780432,Product_003,2023-12-24,Normal
2023-12-25,125.9329487111436,Product_003,2023-12-31,Normal
2024-01-01,129.0057335326237,Product_003,2024-01-07,Normal
2024-01-08,135.19913603550202,Product_003,2024-01-14,Normal
2024-01-15,147.3068721724232,Product_003,2024-01-21,Normal
2024-01-22,146.7581483534948,Product_003,2024-01-28,Normal
2024-01-29,144.73754029959932,Product_003,2024-02-04,Normal
2024-02-05,144.56261345075586,Product_003,2024-02-11,Normal
2024-02-12,155.24729290786482,Product_003,2024-02-18,Normal
2024-02-19,152.67222135672577,Product_003,2024-02-25,Normal
2024-02-26,156.41900832724525,Product_003,2024-03-03,Normal
2024-03-04,158.8882371004329,Product_003,2024-03-10,Normal
2024-03-11,159.50625214217948,Product_003,2024-03-17,Normal
2024-03-18,168.74866639870854,Product_003,2024-03-24,Normal
2024-03-25,172.04823396540615,Product_003,2024-03-31,Normal
2024-04-01,167.43199223543365,Product_003,2024-04-07,Normal
2024-04-08,167.8604597180983,Product_003,2024-04-14,Normal
2024-04-15,164.19699651368109,Product_003,2024-04-21,Normal
2024-04-22,161.46676090651306,Product_003,2024-04-28,Normal
2024-04-29,158.7847075225606,Product_003,2024-05-05,BOGO
2024-05-06,342.866243508772,Product_003,2024-05-12,BOGO
2024-05-13,159.07414172099652,Product_003,2024-05-19,Normal
2024-05-20,157.6189155753401,Product_003,2024-05-26,Normal
2024-05-27,149.8353090072243,Product_003,2024-06-02,Memorial Day
2024-06-03,149.91736632357083,Product_003,2024-06-09,Normal
2024-06-10,144.91830064367653,Product_003,2024-06-16,Normal
2024-06-17,144.59913753770303,Product_003,2024-06-23,Normal
2024-06-24,144.52821328341577,Product_003,2024-06-30,Normal
2024-07-01,138.51333774953284,Product_003,2024-07-07,Normal
2024-07-08,143.29610916103994,Product_003,2024-07-14,Normal
2024-07-15,138.15170306303344,Product_003,2024-07-21,Normal
2024-07-22,135.04435824008726,Product_003,2024-07-28,Normal
2024-07-29,126.66417592339572,Product_003,2024-08-04,Normal
2024-08-05,134.83325807580778,Product_003,2024-08-11,Disc_50
2024-08-12,128.67034515565985,Product_003,2024-08-18,Disc_50
2024-08-19,721.2210942756366,Product_003,2024-08-25,Normal
2024-08-26,124.22213449446195,Product_003,2024-09-01,Normal
2024-09-02,118.04562500109508,Product_003,2024-09-08,Normal
2024-09-09,125.8538553751644,Product_003,2024-09-15,Normal
2024-09-16,121.75705306255855,Product_003,2024-09-22,Normal
2024-09-23,122.33038337072338,Product_003,2024-09-29,Normal
2024-09-30,124.8249184465618,Product_003,2024-10-06,Normal
2024-10-07,118.81265530760226,Product_003,2024-10-13,Normal
2024-10-14,122.7760911871374,Product_003,2024-10-20,Normal
2024-10-21,126.90026114345964,Product_003,2024-10-27,Normal
2024-10-28,125.25979525760704,Product_003,2024-11-03,Normal
2024-11-04,134.27051140515704,Product_003,2024-11-10,Normal
2024-11-11,131.14794668676424,Product_003,2024-11-17,Normal
2024-11-18,525.6146339861529,Product_003,2024-11-24,Normal
2024-11-25,512.9771411217624,Product_003,2024-12-01,Black Friday
2024-12-02,139.9007894073999,Product_003,2024-12-08,Normal
2024-12-09,139.59240645182263,Product_003,2024-12-15,Normal
2024-12-16,132.23933898378604,Product_003,2024-12-22,Normal
2024-12-23,147.94995817451985,Product_003,2024-12-29,Normal
2024-12-30,149.39841215183463,Product_003,2025-01-05,Normal
2023-01-02,108.47264388303716,Product_004,2023-01-08,Normal
2023-01-09,105.02200529098332,Product_004,2023-01-15,Normal
2023-01-16,110.92803747474235,Product_004,2023-01-22,Normal
2023-01-23,118.16692820013802,Product_004,2023-01-29,Normal
2023-01-30,121.98360009278424,Product_004,2023-02-05,Normal
2023-02-06,124.09425545066438,Product_004,2023-02-12,Normal
2023-02-13,128.13817226198546,Product_004,2023-02-19,Normal
2023-02-20,132.05230551483862,Product_004,2023-02-26,Normal
2023-02-27,130.0311308198966,Product_004,2023-03-05,Normal
2023-03-06,132.78261772633894,Product_004,2023-03-12,Normal
2023-03-13,135.23291765207009,Product_004,2023-03-19,Normal
2023-03-20,136.75050438973983,Product_004,2023-03-26,Normal
2023-03-27,135.85696146792935,Product_004,2023-04-02,Normal
2023-04-03,134.30230382014025,Product_004,2023-04-09,Normal
2023-04-10,131.13592942501603,Product_004,2023-04-16,Normal
2023-04-17,128.41243701970535,Product_004,2023-04-23,Normal
2023-04-24,137.43734350210207,Product_004,2023-04-30,Normal
2023-05-01,136.459467014703,Product_004,2023-05-07,Normal
2023-05-08,131.9114740257162,Product_004,2023-05-14,Normal
2023-05-15,133.0488459742216,Product_004,2023-05-21,BOGO
2023-05-22,265.2808852864053,Product_004,2023-05-28,BOGO
2023-05-29,134.16663058217762,Product_004,2023-06-04,Memorial Day
2023-06-05,125.28440342660524,Product_004,2023-06-11,Normal
2023-06-12,124.11609877126033,Product_004,2023-06-18,Normal
2023-06-19,124.87693426053453,Product_004,2023-06-25,Normal
2023-06-26,117.38563272555362,Product_004,2023-07-02,Normal
2023-07-03,116.12848776173676,Product_004,2023-07-09,Normal
2023-07-10,106.09458792740428,Product_004,2023-07-16,Normal
2023-07-17,112.00093709602908,Product_004,2023-07-23,Normal
2023-07-24,103.60971337226376,Product_004,2023-07-30,Normal
2023-07-31,5.111074319034324,Product_004,2023-08-06,Normal
2023-08-07,101.1654533865864,Product_004,2023-08-13,Normal
2023-08-14,106.26921902688194,Product_004,2023-08-20,Normal
2023-08-21,102.59633161706076,Product_004,2023-08-27,Normal
2023-08-28,97.67592828654966,Product_004,2023-09-03,Normal
2023-09-04,93.08038316424349,Product_004,2023-09-10,Normal
2023-09-11,98.04814412540917,Product_004,2023-09-17,Normal
2023-09-18,93.5608210936368,Product_004,2023-09-24,Normal
2023-09-25,94.16498155117266,Product_004,2023-10-01,Normal
2023-10-02,92.24310485174718,Product_004,2023-10-08,Normal
2023-10-09,102.34115784063712,Product_004,2023-10-15,Normal
2023-10-16,94.441817827441,Product_004,2023-10-22,Normal
2023-10-23,101.44632737638604,Product_004,2023-10-29,Normal
2023-10-30,105.28871731037827,Product_004,2023-11-05,Normal
2023-11-06,102.72921943266968,Product_004,2023-11-12,Normal
2023-11-13,104.4893410942616,Product_004,2023-11-19,Normal
2023-11-20,434.631984388917,Product_004,2023-11-26,Black Friday
2023-11-27,439.60386656361845,Product_004,2023-12-03,Normal
2023-12-04,114.15262367201844,Product_004,2023-12-10,Normal
2023-12-11,121.1729689351494,Product_004,2023-12-17,Normal
2023-12-18,122.44767222144938,Product_004,2023-12-24,Normal
2023-12-25,124.4587703779394,Product_004,2023-12-31,Normal
2024-01-01,124.03587597039068,Product_004,2024-01-07,Normal
2024-01-08,140.7477114026201,Product_004,2024-01-14,Normal
2024-01-15,133.05269223781767,Product_004,2024-01-21,Normal
2024-01-22,138.56903842431865,Product_004,2024-01-28,Normal
2024-01-29,141.19052501616378,Product_004,2024-02-04,Normal
2024-02-05,147.4921491205969,Product_004,2024-02-11,Normal
2024-02-12,144.85245062924903,Product_004,2024-02-18,Normal
2024-02-19,148.58354404788767,Product_004,2024-02-25,Normal
2024-02-26,154.43272363679716,Product_004,2024-03-03,Normal
2024-03-04,157.45796048914795,Product_004,2024-03-10,Normal
2024-03-11,151.88649893974306,Product_004,2024-03-17,Normal
2024-03-18,162.05061358705157,Product_004,2024-03-24,Normal
2024-03-25,155.0332958666825,Product_004,2024-03-31,Normal
2024-04-01,156.35388813252834,Product_004,2024-04-07,Normal
2024-04-08,157.84648059901835,Product_004,2024-04-14,Normal
2024-04-15,163.4232645235545,Product_004,2024-04-21,Normal
2024-04-22,168.06540769596634,Product_004,2024-04-28,Normal
2024-04-29,156.8415673920667,Product_004,2024-05-05,BOGO
2024-05-06,338.4796074635267,Product_004,2024-05-12,BOGO
2024-05-13,153.812062693109,Product_004,2024-05-19,Normal
2024-05-20,150.65867461770006,Product_004,2024-05-26,Normal
2024-05-27,156.81950577814015,Product_004,2024-06-02,Memorial Day
2024-06-03,149.60086405948985,Product_004,2024-06-09,Normal
2024-06-10,145.4743975964463,Product_004,2024-06-16,Normal
2024-06-17,141.36951201057542,Product_004,2024-06-23,Normal
2024-06-24,146.38721097718093,Product_004,2024-06-30,Normal
2024-07-01,136.9289730735134,Product_004,2024-07-07,Normal
2024-07-08,139.52559316546785,Product_004,2024-07-14,Normal
2024-07-15,141.08118918943126,Product_004,2024-07-21,Normal
2024-07-22,128.7037689102951,Product_004,2024-07-28,Normal
2024-07-29,136.26472832168406,Product_004,2024-08-04,Normal
2024-08-05,128.42916334377193,Product_004,2024-08-11,Disc_50
2024-08-12,123.1913811968037,Product_004,2024-08-18,Disc_50
2024-08-19,721.3836809179381,Product_004,2024-08-25,Normal
2024-08-26,122.26780200750234,Product_004,2024-09-01,Normal
2024-09-02,115.36233253218876,Product_004,2024-09-08,Normal
2024-09-09,124.01721299643,Product_004,2024-09-15,Normal
2024-09-16,121.19667809728138,Product_004,2024-09-22,Normal
2024-09-23,119.21549754674334,Product_004,2024-09-29,Normal
2024-09-30,110.90813142945368,Product_004,2024-10-06,Normal
2024-10-07,114.78267915357696,Product_004,2024-10-13,Normal
2024-10-14,125.09172716581892,Product_004,2024-10-20,Normal
2024-10-21,133.68955512714874,Product_004,2024-10-27,Normal
2024-10-28,126.02257919317051,Product_004,2024-11-03,Normal
2024-11-04,121.45654364677704,Product_004,2024-11-10,Normal
2024-11-11,129.10016943577406,Product_004,2024-11-17,Normal
2024-11-18,509.5350221346913,Product_004,2024-11-24,Normal
2024-11-25,523.4931557486835,Product_004,2024-12-01,Black Friday
2024-12-02,137.46088972382702,Product_004,2024-12-08,Normal
2024-12-09,140.65423563056328,Product_004,2024-12-15,Normal
2024-12-16,145.4297344486165,Product_004,2024-12-22,Normal
2024-12-23,145.27411888269168,Product_004,2024-12-29,Normal
2024-12-30,150.67464739400774,Product_004,2025-01-05,Normal
2023-01-02,115.46016145323124,Product_005,2023-01-08,Normal
2023-01-09,125.0375438121725,Product_005,2023-01-15,Normal
2023-01-16,124.01946183784112,Product_005,2023-01-22,Normal
2023-01-23,132.2026532864237,Product_005,2023-01-29,Normal
2023-01-30,134.1883704419767,Product_005,2023-02-05,Normal
2023-02-06,132.58321312837444,Product_005,2023-02-12,Normal
2023-02-13,135.1121928688835,Product_005,2023-02-19,Normal
2023-02-20,135.57310194344092,Product_005,2023-02-26,Normal
2023-02-27,145.9012570837078,Product_005,2023-03-05,Normal
2023-03-06,140.18878615605604,Product_005,2023-03-12,Normal
2023-03-13,145.92921260126712,Product_005,2023-03-19,Normal
2023-03-20,140.41506163792897,Product_005,2023-03-26,Normal
2023-03-27,144.5968255416784,Product_005,2023-04-02,Normal
2023-04-03,145.27760655108577,Product_005,2023-04-09,Normal
2023-04-10,149.620269808879,Product_005,2023-04-16,Normal
2023-04-17,148.93964867246672,Product_005,2023-04-23,Normal
2023-04-24,147.70973685678302,Product_005,2023-04-30,Normal
2023-05-01,147.17839661204852,Product_005,2023-05-07,Normal
2023-05-08,141.03203021598125,Product_005,2023-05-14,Normal
2023-05-15,137.95208313600892,Product_005,2023-05-21,BOGO
2023-05-22,285.5563673020023,Product_005,2023-05-28,BOGO
2023-05-29,139.6285698285696,Product_005,2023-06-04,Memorial Day
2023-06-05,142.48845720509848,Product_005,2023-06-11,Normal
2023-06-12,127.44948275979804,Product_005,2023-06-18,Normal
2023-06-19,135.62301830165927,Product_005,2023-06-25,Normal
2023-06-26,129.92448692205363,Product_005,2023-07-02,Normal
2023-07-03,125.72637281454436,Product_005,2023-07-09,Normal
2023-07-10,129.7892523766433,Product_005,2023-07-16,Normal
