week_start, sales ,series_id,week_end,promo_type, resid , baseline ,is_outlier, upper_limit , lower_limit ,is_outlier
30/10/23, 99 ,Product_001,05/11/23,Normal, (4), 103 ,FALSE, 140 , 66 ,0
06/11/23, 104 ,Product_001,12/11/23,Normal, (4), 108 ,FALSE, 145 , 72 ,0
13/11/23, 105 ,Product_001,19/11/23,Normal, (4), 109 ,FALSE, 146 , 72 ,0
20/11/23, 427 ,Product_001,26/11/23,Black Friday, 14 , 413 ,FALSE, 441 , 388 ,0
27/11/23, 401 ,Product_001,03/12/23,Normal, (214), 614 ,TRUE, 652 , 578 ,1
04/12/23, 106 ,Product_001,10/12/23,Normal, 1 , 105 ,FALSE, 142 , 68 ,0
11/12/23, 115 ,Product_001,17/12/23,Normal, (2), 117 ,FALSE, 154 , 80 ,0
18/12/23, 116 ,Product_001,24/12/23,Normal, (4), 120 ,FALSE, 157 , 83 ,0
25/12/23, 127 ,Product_001,31/12/23,Normal, (2), 130 ,FALSE, 167 , 93 ,0
01/01/24, 126 ,Product_001,07/01/24,Normal, 3 , 123 ,FALSE, 160 , 86 ,0
08/01/24, 129 ,Product_001,14/01/24,Normal, 3 , 126 ,FALSE, 163 , 89 ,0
15/01/24, 128 ,Product_001,21/01/24,Normal, 5 , 123 ,FALSE, 160 , 86 ,0
22/01/24, 136 ,Product_001,28/01/24,Normal, 8 , 128 ,FALSE, 165 , 91 ,0
29/01/24, 135 ,Product_001,04/02/24,Normal, 2 , 133 ,FALSE, 170 , 96 ,0
05/02/24, 136 ,Product_001,11/02/24,Normal, 1 , 134 ,FALSE, 171 , 97 ,0
12/02/24, 142 ,Product_001,18/02/24,Normal, 9 , 133 ,FALSE, 170 , 96 ,0
19/02/24, 146 ,Product_001,25/02/24,Normal, 4 , 142 ,FALSE, 179 , 105 ,0
26/02/24, 149 ,Product_001,03/03/24,Normal, 3 , 146 ,FALSE, 183 , 109 ,0
04/03/24, 154 ,Product_001,10/03/24,Normal, 8 , 146 ,FALSE, 183 , 109 ,0
11/03/24, 155 ,Product_001,17/03/24,Normal, 8 , 147 ,FALSE, 184 , 110 ,0
18/03/24, 157 ,Product_001,24/03/24,Normal, 11 , 146 ,FALSE, 184 , 110 ,0
25/03/24, 151 ,Product_001,31/03/24,Normal, 4 , 147 ,FALSE, 184 , 110 ,0
01/04/24, 156 ,Product_001,07/04/24,Normal, 5 , 150 ,FALSE, 188 , 114 ,0
08/04/24, 148 ,Product_001,14/04/24,Normal, (3), 151 ,FALSE, 189 , 115 ,0
15/04/24, 158 ,Product_001,21/04/24,Normal, 6 , 152 ,FALSE, 190 , 116 ,0
22/04/24, 158 ,Product_001,28/04/24,Normal, 6 , 152 ,FALSE, 189 , 115 ,0
29/04/24, 147 ,Product_001,05/05/24,BOGO, (3), 150 ,FALSE, 473 , (67),0
06/05/24, 343 ,Product_001,12/05/24,BOGO, 192 , 151 ,FALSE, 474 , (65),0
13/05/24, 150 ,Product_001,19/05/24,Normal, 0 , 149 ,FALSE, 186 , 112 ,0
20/05/24, 148 ,Product_001,26/05/24,Normal, 1 , 148 ,FALSE, 185 , 111 ,0
27/05/24, 149 ,Product_001,02/06/24,Memorial Day, 3 , 146 ,FALSE, 170 , 121 ,0
03/06/24, 147 ,Product_001,09/06/24,Normal, 4 , 143 ,FALSE, 180 , 106 ,0
10/06/24, 150 ,Product_001,16/06/24,Normal, 6 , 144 ,FALSE, 181 , 108 ,0
17/06/24, 139 ,Product_001,23/06/24,Normal, 1 , 138 ,FALSE, 175 , 101 ,0
24/06/24, 137 ,Product_001,30/06/24,Normal, 4 , 133 ,FALSE, 170 , 96 ,0
01/07/24, 129 ,Product_001,07/07/24,Normal, 0 , 129 ,FALSE, 166 , 92 ,0
08/07/24, 134 ,Product_001,14/07/24,Normal, 5 , 129 ,FALSE, 166 , 92 ,0
15/07/24, 129 ,Product_001,21/07/24,Normal, 3 , 126 ,FALSE, 163 , 89 ,0
22/07/24, 135 ,Product_001,28/07/24,Normal, 13 , 122 ,FALSE, 159 , 85 ,0
29/07/24, 124 ,Product_001,04/08/24,Normal, 0 , 123 ,FALSE, 160 , 86 ,0
05/08/24, 124 ,Product_001,11/08/24,Disc_50, 7 , 118 ,FALSE, 144 , 106 ,0
12/08/24, 127 ,Product_001,18/08/24,Disc_50, 10 , 117 ,FALSE, 144 , 106 ,0
19/08/24, 713 ,Product_001,25/08/24,Normal, 605 , 108 ,TRUE, 145 , 71 ,1
26/08/24, 113 ,Product_001,01/09/24,Normal, 3 , 110 ,FALSE, 147 , 73 ,0
02/09/24, 115 ,Product_001,08/09/24,Normal, 1 , 114 ,FALSE, 151 , 77 ,0
09/09/24, 121 ,Product_001,15/09/24,Normal, 13 , 108 ,FALSE, 145 , 71 ,0
16/09/24, 121 ,Product_001,22/09/24,Normal, 14 , 107 ,FALSE, 144 , 70 ,0
23/09/24, 107 ,Product_001,29/09/24,Normal, (1), 108 ,FALSE, 145 , 71 ,0
30/09/24, 128 ,Product_001,06/10/24,Normal, 20 , 108 ,FALSE, 145 , 71 ,0
07/10/24, 126 ,Product_001,13/10/24,Normal, 17 , 109 ,FALSE, 146 , 72 ,0
14/10/24, 117 ,Product_001,20/10/24,Normal, 10 , 108 ,FALSE, 145 , 71 ,0
21/10/24, 122 ,Product_001,27/10/24,Normal, 10 , 111 ,FALSE, 148 , 75 ,0
28/10/24, 124 ,Product_001,03/11/24,Normal, 16 , 108 ,FALSE, 145 , 71 ,0
04/11/24, 125 ,Product_001,10/11/24,Normal, 11 , 114 ,FALSE, 151 , 77 ,0
11/11/24, 132 ,Product_001,17/11/24,Normal, 18 , 114 ,FALSE, 151 , 77 ,0
18/11/24, 507 ,Product_001,24/11/24,Normal, 178 , 329 ,TRUE, 366 , 293 ,1
25/11/24, 518 ,Product_001,01/12/24,Black Friday, (7), 525 ,FALSE, 553 , 500 ,0
02/12/24, 137 ,Product_001,08/12/24,Normal, (60), 197 ,TRUE, 235 , 161 ,1
09/12/24, 144 ,Product_001,15/12/24,Normal, 24 , 120 ,FALSE, 157 , 83 ,0
16/12/24, 141 ,Product_001,22/12/24,Normal, 18 , 123 ,FALSE, 160 , 86 ,0
23/12/24, 155 ,Product_001,29/12/24,Normal, 25 , 131 ,FALSE, 168 , 94 ,0
30/12/24, 153 ,Product_001,05/01/25,Normal, 26 , 127 ,FALSE, 164 , 90 ,0
