week_start,sales,series_id,week_end,is_event,is_promo,is_special,resid,is_outlier
2023-09-04,97.20199244421856,Product_001,2023-09-10,0,0,False,-2.2777025170241814,False
2023-09-11,92.00434962129656,Product_001,2023-09-17,0,0,False,-3.0456257337546333,False
2023-09-18,89.05940014676553,Product_001,2023-09-24,0,0,False,-5.622718960320697,False
2023-09-25,98.32814396288896,Product_001,2023-10-01,0,0,False,1.7852477568638392,False
2023-10-02,91.89400049961476,Product_001,2023-10-08,0,0,False,-4.874486849043194,False
2023-10-09,88.04931613170041,Product_001,2023-10-15,0,0,False,-9.369475403284568,False
2023-10-16,94.9313059381942,Product_001,2023-10-22,0,0,False,-3.7058176764201676,False
2023-10-23,101.01099374058896,Product_001,2023-10-29,0,0,False,-3.6399567475645256,False
2023-10-30,98.50050899415484,Product_001,2023-11-05,0,0,False,-4.183532348959886,False
2023-11-06,104.22345646382286,Product_001,2023-11-12,0,0,False,-4.174881407411846,False
2023-11-13,105.05365345550516,Product_001,2023-11-19,0,0,False,-3.853010762718583,False
2023-11-20,426.9864141069589,Product_001,2023-11-26,1,0,True,14.20354584371188,False
2023-11-27,400.7929066424955,Product_001,2023-12-03,0,0,False,-213.6866628888942,True
2023-12-04,105.9504667515833,Product_001,2023-12-10,0,0,False,0.6002033036868113,False
2023-12-11,115.10493003785972,Product_001,2023-12-17,0,0,False,-2.1061878157314595,False
2023-12-18,116.0054011317671,Product_001,2023-12-24,0,0,False,-3.824376707586765,False
2023-12-25,127.40099536357071,Product_001,2023-12-31,0,0,False,-2.4908965759287014,False
2024-01-01,126.46124738470436,Product_001,2024-01-07,0,0,False,3.278376649469891,False
2024-01-08,128.6473943473475,Product_001,2024-01-14,0,0,False,2.873537656490157,False
2024-01-15,128.30476294457392,Product_001,2024-01-21,0,0,False,4.995803413637191,False
2024-01-22,135.8598771460852,Product_001,2024-01-28,0,0,False,7.769235633501523,False
2024-01-29,135.09627953492802,Product_001,2024-02-04,0,0,False,2.3563230289513513,False
2024-02-05,135.64087478313118,Product_001,2024-02-11,0,0,False,1.4579843193737645,False
2024-02-12,141.75947187904794,Product_001,2024-02-18,0,0,False,9.143788761654008,False
2024-02-19,146.38954950698556,Product_001,2024-02-25,0,0,False,4.4790674490338915,False
2024-02-26,149.05556960979808,Product_001,2024-03-03,0,0,False,2.7892778253367965,False
2024-03-04,154.48697494097968,Product_001,2024-03-10,0,0,False,8.270550543481733,False
2024-03-11,154.5121833810195,Product_001,2024-03-17,0,0,False,7.679577186151903,False
2024-03-18,157.34787304638468,Product_001,2024-03-24,0,0,False,10.92527578777353,False
2024-03-25,151.28743340609478,Product_001,2024-03-31,0,0,False,4.233556930099496,False
2024-04-01,155.57806186345857,Product_001,2024-04-07,0,0,False,5.119758983401084,False
2024-04-08,148.42489112724633,Product_001,2024-04-14,0,0,False,-3.0670097408936954,False
2024-04-15,158.0280902267522,Product_001,2024-04-21,0,0,False,5.560626032919146,False
2024-04-22,157.68655967680456,Product_001,2024-04-28,0,0,False,5.551496271890528,False
2024-04-29,146.523090581479,Product_001,2024-05-05,0,1,True,-3.1583818827910477,False
2024-05-06,342.8861511496621,Product_001,2024-05-12,0,1,True,191.77445977673233,True
2024-05-13,149.50028157056502,Product_001,2024-05-19,0,0,False,0.2471046319584218,False
2024-05-20,148.26077196323686,Product_001,2024-05-26,0,0,False,0.751287583950841,False
2024-05-27,148.56578816063265,Product_001,2024-06-02,1,0,True,2.7924093981793874,False
2024-06-03,147.17772491121298,Product_001,2024-06-09,0,0,False,4.069228789064255,False
2024-06-10,150.40836105081382,Product_001,2024-06-16,0,0,False,6.013293054751017,False
2024-06-17,139.27181296242003,Product_001,2024-06-23,0,0,False,1.4044322093915866,False
2024-06-24,136.83944526108033,Product_001,2024-06-30,0,0,False,3.5153813920768755,False
2024-07-01,128.59297270256496,Product_001,2024-07-07,0,0,False,0.027210529975462805,False
2024-07-08,134.45316578614288,Product_001,2024-07-14,0,0,False,5.195319196754554,False
2024-07-15,128.99119220812815,Product_001,2024-07-21,0,0,False,3.163719671502008,False
2024-07-22,134.9735967298124,Product_001,2024-07-28,0,0,False,13.199341376795132,False
2024-07-29,123.7138488787126,Product_001,2024-08-04,0,0,False,0.4517571622448031,False
2024-08-05,124.3249958962461,Product_001,2024-08-11,0,1,True,6.744788411741496,False
2024-08-12,127.03441634321156,Product_001,2024-08-18,0,1,True,9.783239228005101,False
2024-08-19,713.0460940935333,Product_001,2024-08-25,0,0,False,605.0988584371128,True
2024-08-26,112.6571557252795,Product_001,2024-09-01,0,0,False,2.9465716939889717,False
2024-09-02,115.34050433639,Product_001,2024-09-08,0,0,False,0.9930713224724173,False
2024-09-09,120.70178300168358,Product_001,2024-09-15,0,0,False,12.55315477755343,False
2024-09-16,120.67108190952032,Product_001,2024-09-22,0,0,False,13.642030014534953,False
2024-09-23,106.93653213950334,Product_001,2024-09-29,0,0,False,-0.626680209693177,False
2024-09-30,127.76563349815436,Product_001,2024-10-06,0,0,False,19.61349559991308,False
2024-10-07,125.54124722891504,Product_001,2024-10-13,0,0,False,17.04066540378733,False
2024-10-14,117.41000063902804,Product_001,2024-10-20,0,0,False,9.597485666278146,False
2024-10-21,121.71580551314568,Product_001,2024-10-27,0,0,False,10.33866822363106,False
2024-10-28,124.44306911201126,Product_001,2024-11-03,0,0,False,16.14405923818856,False
2024-11-04,125.3654428998632,Product_001,2024-11-10,0,0,False,11.25320655481434,False
2024-11-11,131.55886300112985,Product_001,2024-11-17,0,0,False,17.73904113475038,False
2024-11-18,506.93485018737175,Product_001,2024-11-24,0,0,False,177.54076670897578,True
2024-11-25,517.635418100188,Product_001,2024-12-01,1,0,True,-6.869053654292571,False
2024-12-02,137.04790501499934,Product_001,2024-12-08,0,0,False,-60.45051919229081,True
2024-12-09,144.3849499552339,Product_001,2024-12-15,0,0,False,24.11046416519696,False
2024-12-16,140.9507319372629,Product_001,2024-12-22,0,0,False,18.379607316459527,False
2024-12-23,155.16832794067028,Product_001,2024-12-29,0,0,False,24.65160465711594,False
2024-12-30,152.56404871115478,Product_001,2025-01-05,0,0,False,26.058939266021213,False
