series_id,stiffness_ratio,verdict,sales_std,baseline_std
Product_019,0.999,Wavy (Warning: Baseline is chasing spikes),82.5,82.41
Product_002,0.999,Wavy (Warning: Baseline is chasing spikes),70.7,70.65
Product_001,0.999,Wavy (Warning: Baseline is chasing spikes),76.14,76.1
Product_093,0.999,Wavy (Warning: Baseline is chasing spikes),61.68,61.59
Product_051,0.999,Wavy (Warning: Baseline is chasing spikes),69.87,69.79
Product_004,0.999,Wavy (Warning: Baseline is chasing spikes),94.48,94.42
Product_149,0.999,Wavy (Warning: Baseline is chasing spikes),53.41,53.36
Product_065,0.999,Wavy (Warning: Baseline is chasing spikes),57.48,57.44
Product_064,0.999,Wavy (Warning: Baseline is chasing spikes),71.05,70.99
Product_094,0.999,Wavy (Warning: Baseline is chasing spikes),90.8,90.73
Product_117,0.998,Wavy (Warning: Baseline is chasing spikes),52.74,52.64
Product_121,0.998,Wavy (Warning: Baseline is chasing spikes),53.15,53.02
Product_129,0.998,Wavy (Warning: Baseline is chasing spikes),61.04,60.91
Product_007,0.998,Wavy (Warning: Baseline is chasing spikes),58.63,58.51
Product_104,0.998,Wavy (Warning: Baseline is chasing spikes),75.04,74.88
Product_061,0.998,Wavy (Warning: Baseline is chasing spikes),86.2,86.02
Product_074,0.998,Wavy (Warning: Baseline is chasing spikes),80.79,80.6
Product_066,0.997,Wavy (Warning: Baseline is chasing spikes),84.39,84.18
Product_146,0.997,Wavy (Warning: Baseline is chasing spikes),84.27,84.05
Product_136,0.997,Wavy (Warning: Baseline is chasing spikes),58.87,58.67
Product_031,0.997,Wavy (Warning: Baseline is chasing spikes),75.8,75.54
Product_124,0.997,Wavy (Warning: Baseline is chasing spikes),57.02,56.85
Product_036,0.996,Wavy (Warning: Baseline is chasing spikes),66.6,66.32
Product_053,0.996,Wavy (Warning: Baseline is chasing spikes),68.92,68.67
Product_013,0.996,Wavy (Warning: Baseline is chasing spikes),98.03,97.67
Product_122,0.996,Wavy (Warning: Baseline is chasing spikes),89.37,89.03
Product_126,0.996,Wavy (Warning: Baseline is chasing spikes),113.54,113.04
Product_041,0.995,Wavy (Warning: Baseline is chasing spikes),71.6,71.27
Product_080,0.995,Wavy (Warning: Baseline is chasing spikes),49.47,49.22
Product_131,0.994,Wavy (Warning: Baseline is chasing spikes),44.53,44.28
Product_079,0.992,Wavy (Warning: Baseline is chasing spikes),70.12,69.54
Product_027,0.99,Wavy (Warning: Baseline is chasing spikes),70.44,69.72
Product_106,0.99,Wavy (Warning: Baseline is chasing spikes),67.04,66.35
Product_086,0.989,Wavy (Warning: Baseline is chasing spikes),74.73,73.87
Product_133,0.987,Wavy (Warning: Baseline is chasing spikes),61.26,60.46
Product_105,0.987,Wavy (Warning: Baseline is chasing spikes),77.46,76.41
Product_142,0.986,Wavy (Warning: Baseline is chasing spikes),69.46,68.49
Product_081,0.984,Wavy (Warning: Baseline is chasing spikes),68.48,67.35
Product_045,0.968,Wavy (Warning: Baseline is chasing spikes),70.07,67.79
Product_005,0.958,Wavy (Warning: Baseline is chasing spikes),51.56,49.38
Product_138,0.956,Wavy (Warning: Baseline is chasing spikes),61.72,59.01
Product_067,0.955,Wavy (Warning: Baseline is chasing spikes),78.54,74.97
Product_111,0.931,Wavy (Warning: Baseline is chasing spikes),75.39,70.17
Product_092,0.898,Wavy (Warning: Baseline is chasing spikes),105.57,94.83
Product_144,0.817,Wavy (Warning: Baseline is chasing spikes),79.34,64.8
Product_135,0.794,Wavy (Warning: Baseline is chasing spikes),89.79,71.32
Product_015,0.787,Wavy (Warning: Baseline is chasing spikes),99.82,78.52
Product_006,0.784,Wavy (Warning: Baseline is chasing spikes),80.82,63.4
Product_137,0.781,Wavy (Warning: Baseline is chasing spikes),75.38,58.87
Product_089,0.755,Wavy (Warning: Baseline is chasing spikes),91.64,69.23
Product_023,0.726,Wavy (Warning: Baseline is chasing spikes),71.41,51.87
Product_098,0.667,Wavy (Warning: Baseline is chasing spikes),71.67,47.77
Product_095,0.666,Wavy (Warning: Baseline is chasing spikes),68.43,45.6
Product_082,0.641,Wavy (Warning: Baseline is chasing spikes),63.75,40.83
Product_075,0.633,Wavy (Warning: Baseline is chasing spikes),70.08,44.34
Product_143,0.63,Wavy (Warning: Baseline is chasing spikes),72.03,45.4
Product_127,0.621,Wavy (Warning: Baseline is chasing spikes),75.14,46.66
Product_073,0.621,Wavy (Warning: Baseline is chasing spikes),72.62,45.07
Product_088,0.605,Wavy (Warning: Baseline is chasing spikes),78.81,47.68
Product_032,0.601,Wavy (Warning: Baseline is chasing spikes),62.56,37.59
Product_148,0.581,Wavy (Warning: Baseline is chasing spikes),66.86,38.86
Product_035,0.487,Flexible (Acceptable),73.47,35.78
Product_012,0.473,Flexible (Acceptable),64.11,30.32
Product_008,0.431,Flexible (Acceptable),64.93,27.96
Product_099,0.409,Flexible (Acceptable),62.2,25.46
